subnet_idx,bits,weight
234,01010111,1.9048755e-05
235,11010111,1.4919094e-05
236,00110111,3.4679793e-05
237,10110111,1.7470538e-05
238,01110111,2.2806009e-05
239,11110111,5.3415508e-05
240,00001111,0.00018091979
241,10001111,1.6770835e-05
242,01001111,2.8516757e-05
243,11001111,2.2886079e-05
244,00101111,0.0001699072
245,10101111,0.068029635
246,01101111,0.04108481
247,11101111,0.14023255
248,00011111,7.479386e-05
249,10011111,7.3666946e-05
250,01011111,0.00300106
251,11011111,0.017868288
252,00111111,8.7748966e-05
253,10111111,0.12824196
254,01111111,0.12000136
255,11111111,0.11287128
